text,address,time,link,price
,https://travel.com.vnNone,,,
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*, 4* và 5*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-068-050619XE-D/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao,-4sao-va-5sao,-tour-tieu-chuan.aspx","  Khởi hành: 05/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,690,000 đ
                            "
Miền Tây - Mỹ Tho - Thới Sơn - Bến Tre - Cần Thơ - khách sạn 3 sao (Tour Tiết Kiệm),https://travel.com.vn/tourNDSGN835-020-050619XE-V/mien-tay-my-tho-thoi-son-ben-tre-can-tho-khach-san-3-sao-tour-tiet-kiem.aspx,"  Khởi hành: 05/06/2019 05:45
                            ",https://travel.com.vn/Images/destination/tf_171205111433_833945.jpg,"
                                1,390,000 đ
                            "
"Phú Quốc -  Ngắm Hoàng Hôn Tại Sunset Sanato - Thiền Viện Trúc Lâm Hộ Quốc (Resort 4*, Tour Tiết Kiệm)","https://travel.com.vn/tourNDSGN878-073-050619VJ-V-1/phu-quoc-ngam-hoang-hon-tai-sunset-sanato-thien-vien-truc-lam-ho-quoc-resort-4sao,-tour-tiet-kiem.aspx","  Khởi hành: 05/06/2019 09:35
                            ",https://travel.com.vn/Images/destination/tf_180110044009_909799.jpg,"
                                5,390,000 đ
                            "
"Miền Tây - Làng Bè Châu Đốc - Chùa Hang Phước Điền - Rừng Tràm Trà Sư - Hà Tiên - Rạch Giá - Cần Thơ - Cồn Sơn (Khách sạn 2*&3*, Tour Tiết Kiệm)","https://travel.com.vn/tourNDSGN849-022-060619XE-V/mien-tay-lang-be-chau-doc-chua-hang-phuoc-dien-rung-tram-tra-su-ha-tien-rach-gia-can-tho-con-son-khach-san-2sao-3sao,-tour-tiet-kiem.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180912060627_365296.jpg,"
                                3,290,000 đ
                            "
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*, 4* và 5*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-057-060619XE-D-1/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao,-4sao-va-5sao,-tour-tieu-chuan.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,690,000 đ
                            "
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*&4*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-057-060619XE-D/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao-4sao,-tour-tieu-chuan.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,490,000 đ
                            "
Buôn Ma Thuột - Bản Đôn - Hồ Lắk - Buôn Kôtam - Bảo Tàng Cà Phê Thế Giới (Khách sạn 5*. Tour Tiết Kiệm),https://travel.com.vn/tourNDSGN574-022-060619XE-V-1/buon-ma-thuot-ban-don-ho-lak-buon-kotam-bao-tang-ca-phe-the-gioi-khach-san-5sao-tour-tiet-kiem.aspx,"  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_181227125346_637240.jpg,"
                                3,990,000 đ
                            "
Buôn Ma Thuột - Bản Đôn - Hồ Lắk - Buôn Kôtam - Bảo Tàng Cà Phê Thế Giới (Tour Tiết Kiệm) ,https://travel.com.vn/tourNDSGN574-022-060619XE-V/buon-ma-thuot-ban-don-ho-lak-buon-kotam-bao-tang-ca-phe-the-gioi-tour-tiet-kiem-.aspx,"  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_181227125346_637240.jpg,"
                                3,390,000 đ
                            "
Vé Máy Bay Một Chiều Sài Gòn - Phú Yên (Tặng 20kg hành lý ký gửi),https://travel.com.vn/tourNDSGN515-020-060619VJ-H-8/ve-may-bay-mot-chieu-sai-gon-phu-yen-tang-20kg-hanh-ly-ky-gui.aspx,"  Khởi hành: 06/06/2019 06:30
                            ",https://travel.com.vn/Images/destination/tf_190111033056_245440.jpg,"
                                1,200,000 đ
                            "
