text,address,time,link,price
Tour Mỹ Tho - Bến Tre - vườn trái cây bao bụng 1 ngày,https://trippy.vn/tour/tour-my-tho-ben-tre-vuon-trai-cay.html," 16/06/2019, 23/06/2019, 30/06/2019",,490.000 đ
Tour Làng bè nổi và làng Chăm Châu Đốc nửa ngày,https://trippy.vn/tour/tour-lang-be-noi-va-lang-cham-chau-doc-nua-ngay.html, Liên hệ,,150.000 đ
Tour TP. HCM - Bình Châu - Hồ Cốc 3 ngày 2 đêm,https://trippy.vn/tour/tour-tphcm-binh-chau-ho-coc-3n2d.html, Liên hệ,,2.750.000 đ
Tour Đà Nẵng 3N2Đ: Sơn Trà - Ngũ Hành Sơn - Bà Nà - Hội An,https://trippy.vn/tour/tour-du-lich-da-nang-3-ngay-2-dem.html, Liên hệ,,2.800.000 đ
Tour Vũng Tàu - Côn Đảo 3N2Đ bằng tàu 5* Côn Đảo Express,https://trippy.vn/tour/tour-vung-tau-con-dao-3n2d-con-dao-express.html, Liên hệ,,4.890.000 đ
Tour Hà Nội – Hang Múa – Tam Cốc 1 ngày,https://trippy.vn/tour/tour-ha-noi-hang-mua-tam-coc-1-ngay.html, Liên hệ,,900.000 đ
Tour Hà Nội – Hang Múa – Tràng An 1 ngày,https://trippy.vn/tour/tour-ha-noi-hang-mua-trang-an-1-ngay.html, Liên hệ,,1.000.000 đ
"Tour Hòn Móng Tay, Hòn Dăm Ngang hoặc Mây Rút 1 ngày",https://trippy.vn/tour/tour-hon-mong-tay-hon-dam-ngang-hoac-may-rut.html, Liên hệ,,500.000 đ
Tour Hà Nội - Mộc Châu - Mai Châu 4 ngày 3 đêm,https://trippy.vn/tour/tour-ha-noi-moc-chau-mai-chau-4-ngay-3-dem.html, Liên hệ,,3.730.000 đ
Tour miền tây mùa nước nổi 2N1Đ: Cần Thơ - Châu Đốc,https://trippy.vn/tour/tour-mien-tay-mua-nuoc-noi-2n1d-can-tho-chau-doc.html, 31/12/2019,,790.000 đ
"Tour Mộc Châu 2 ngày 1 đêm: nông trường chè, rừng thông bản Áng, Happy Land",https://trippy.vn/tour/tour-du-lich-moc-chau-2-ngay-1-dem.html, 31/12/2019,,1.480.000 đ
Tour Hà Giang : Quản Bạ - Đồng Văn - Lũng Cú 3 ngày 2 đêm,https://trippy.vn/tour/tour-ha-giang-quan-ba-dong-van-lung-cu-3-ngay-2-dem.html, 31/12/2019,,2.380.000 đ
Tour du lịch Sapa - chợ Bắc Hà 1 ngày,https://trippy.vn/tour/tour-du-lich-sapa-cho-bac-ha-1-ngay.html, 31/12/2019,,590.000 đ
Tour Trekking Tà Năng – Đồi Trọc 2 ngày 1 đêm,https://trippy.vn/tour/tour-trekking-ta-nang-doi-troc-2-ngay-1-dem.html, Liên hệ,,1.500.000 đ
"Tour tham quan chợ nổi Cái Răng, Cần Thơ",https://trippy.vn/tour/tour-tham-quan-cho-noi-cai-rang-can-tho.html, Liên hệ,,150.000 đ
"Tour đi đảo Kỳ Co, Quy Nhơn 1 ngày",https://trippy.vn/tour/tour-di-dao-ky-co-quy-nhon-1-ngay.html, Liên hệ,,650.000 đ
Tour Trekking Tà Năng – Phan Dũng 3 ngày 2 đêm,https://trippy.vn/tour/tour-trekking-ta-nang-phan-dung-3-ngay-2-dem.html, Liên hệ,,1.900.000 đ
