text,address,time,link,price
HÀ NỘI – KDL TRÀNG AN – CHÙA BÁI ĐÍNH – HÀ NỘI,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-kdl-trang-an-chua-bai-dinh-ha-noi.html,Hằng ngày,http://www.vinatourist.net/upload/products/3501_1551866744_540x380.jpg,1.280.000 VNĐ
HÀ NỘI – CHÙA HƯƠNG – HÀ NỘI,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-chua-huong-ha-noi.html,Hằng ngày,http://www.vinatourist.net/upload/products/3601_1551866863_540x380.jpg,1.250.000 VNĐ
HÀ NỘI – HẠ LONG (Ngủ đêm trên tàu) – HÀ NỘI,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-ha-long-ngu-dem-tren-tau-ha-noi.html,Hằng ngày,http://www.vinatourist.net/upload/products/3701_1551867046_540x380.jpg,2.590.000 VNĐ
"HÀ NỘI – BÁI ĐÍNH, TRÀNG AN – HẠ LONG – YÊN TỬ - HÀ NỘI",http://www.vinatourist.net/tour-trong-nuoc/ha-noi-bai-dinh-trang-an-ha-long-yen-tu-ha-noi.html,Thứ sáu hàng tuần,http://www.vinatourist.net/upload/products/3901_1551867482_540x380.jpg,2.590.000 VNĐ
HÀ NỘI (LONG THÀNH SHOW) - NINH BÌNH - YÊN TỬ -  HÀ NỘI - CHÙA HƯƠNG,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-long-thanh-show-ninh-binh-yen-tu--ha-noi-chua-huong.html,Thứ 5 hàng tuần,http://www.vinatourist.net/upload/products/4001_1551867698_540x380.jpg,5.790.000 VNĐ
HÀ NỘI ( LONG THÀNH SHOW) – NINH BÌNH – HẠ LONG – YÊN TỬ,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-long-thanh-show-ninh-binh-ha-long-yen-tu.html,Thứ 5 hàng tuần,http://www.vinatourist.net/upload/products/4101_1551867893_540x380.jpg,3.690.000 VNĐ
HÀ NỘI (LONG THÀNH SHOW) - BÁI ĐÍNH - TRÀNG AN -  HẠ LONG - YÊN TỬ - HÀ NỘI,http://www.vinatourist.net/tour-trong-nuoc/ha-noi-long-thanh-show-bai-dinh-trang-an--ha-long-yen-tu-ha-noi.html,Thứ 5 hàng tuần,http://www.vinatourist.net/upload/products/4301_1551868271_540x380.jpg,4.360.000 VNĐ
"PHÚ QUỐC - CÂU CÁ, BẮT NHUM (Khách lẻ)",http://www.vinatourist.net/tour-trong-nuoc/phu-quoc-cau-ca-bat-nhum-khach-le.html,01/03/2019,http://www.vinatourist.net/upload/products/3001_1551412289_540x380.jpg,6.995.000 VNĐ
"PHÚ QUỐC - CÂU CÁ, BẮT NHUM",http://www.vinatourist.net/tour-trong-nuoc/phu-quoc-cau-ca-bat-nhum.html,28/04/2019,http://www.vinatourist.net/upload/products/1601_1551096585_540x380.jpg,2.995.000 VNĐ
TIỀN GIANG - BẾN TRE - CẦN THƠ - SÓC TRĂNG - BẠC LIÊU - CÀ MAU,http://www.vinatourist.net/tour-trong-nuoc/tien-giang-ben-tre-can-tho-soc-trang-bac-lieu-ca-mau.html,Thứ 7 hằng tuần,http://www.vinatourist.net/upload/products/4401_1553176294_540x380.jpg,3.968.000 VNĐ
MỸ THO - CỒN PHỤNG - CẦN THƠ,http://www.vinatourist.net/tour-trong-nuoc/my-tho-con-phung-can-tho.html,30/04/2019,http://www.vinatourist.net/upload/products/801_1551087968_540x380.jpg,1.990.000 VNĐ
HUẾ- ĐỘNG THIÊN ĐƯỜNG/PHONG NHA,http://www.vinatourist.net/tour-trong-nuoc/hue-dong-thien-duongphong-nha.html,Thứ 7 - Thứ 3 hằng tuần,http://www.vinatourist.net/upload/products/201_1550909079_540x380.jpg,1.000.000 VNĐ
ĐÀ NẴNG - HUẾ- ĐỘNG THIÊN ĐƯỜNG/ PHONG NHA,http://www.vinatourist.net/tour-trong-nuoc/da-nang-hue-dong-thien-duong-phong-nha.html,Thứ 2 - Thứ 6 hằng tuần,http://www.vinatourist.net/upload/products/301_1550909219_540x380.jpg,1.800.000 VNĐ
ĐÀ NẴNG - HUẾ - ĐỘNG THIÊN ĐƯỜNG/PHONG NHA,http://www.vinatourist.net/tour-trong-nuoc/da-nang-hue-dong-thien-duongphong-nha.html,Thứ 2 - Thứ 6 hằng tuần,http://www.vinatourist.net/upload/products/301_1550910506_540x380.jpg,2.850.000 VNĐ
ĐÀ NẴNG – BÀ NÀ - HỘI AN - HUẾ -  ĐỘNG THIÊN ĐƯỜNG/PHONG NHA,http://www.vinatourist.net/tour-trong-nuoc/da-nang-ba-na-hoi-an-hue--dong-thien-duongphong-nha.html,Thứ năm - Chủ nhật,http://www.vinatourist.net/upload/products/301_1550911164_540x380.jpg,3.450.000 VNĐ
ĐN - HUẾ - ĐỘNG THIÊN ĐƯỜNG/PHONG NHA – CÙ LAO CHÀM - HỘI AN,http://www.vinatourist.net/tour-trong-nuoc/dn-hue-dong-thien-duongphong-nha-cu-lao-cham-hoi-an.html,Thứ sáu hằng tuần,http://www.vinatourist.net/upload/products/501_1550911398_540x380.jpg,4.150.000 VNĐ
ĐN - HUẾ - ĐỘNG THIÊN ĐƯỜNG/PHONG NHA - BÀ NÀ - HỘI AN,http://www.vinatourist.net/tour-trong-nuoc/dn-hue-dong-thien-duongphong-nha-ba-na-hoi-an.html,Thứ hai hằng tuần,http://www.vinatourist.net/upload/products/601_1550911620_540x380.jpg,3.750.000 VNĐ
