text,address,time,link,price
"
                    Tham Quan Bình Ba Quốc đảo tôm  hùm 1 Ngày
                ",https://mytour.vn/tour/8687-tham-quan-binh-ba-quoc-dao-tom-hum-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/maz1406538846.jpg","570,000"
"
                    Tour Du Lịch City Sài Gòn - Địa Đạo Củ Chi 1 Ngày 
                ",https://mytour.vn/tour/8815-tour-du-lich-city-sai-gon-dia-dao-cu-chi-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/vxn1420183560_tour-du-lich-city-sai-gon-dia-dao-cu-chi-1-ngay.jpg","270,000"
"
                    Tour Du Lich Phú Quốc Thăm quan Bắc Đảo 1 Ngày
                ",https://mytour.vn/tour/8854-tour-du-lich-phu-quoc-tham-quan-bac-dao-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/pfo1421395941_tour-du-lich-phu-quoc-cau-ca-lan-ngam-san-ho-bac-dao-1-ngay.jpg","590,000"
"
                    Tour Du Lich Phú Quốc Thẻ Mực Đêm 1 Ngày
                ",https://mytour.vn/tour/8855-tour-du-lich-phu-quoc-the-muc-dem-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/ppe1421396285_tour-du-lich-phu-quoc-the-muc-dem-1-ngay.jpg","315,000"
"
                    Tour Du Lịch Đà Lạt Thác Voi - Làng Nghề 1 Ngày
                ",https://mytour.vn/tour/8874-tour-du-lich-da-lat-thac-voi-lang-nghe-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/lej1421829238_tour-du-lich-da-lat-thac-voi-lang-nghe-1-ngay.jpg","300,000"
"
                    Tour Hang Múa -Động Thiên Thanh - Động  Thiên Hà  1 ngày 
                ",https://mytour.vn/tour/8920-tour-hang-mua-dong-thien-thanh-dong-thien-ha-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/iab1431606783_tour-du-lich-ha-long-0-tuan-chau-hoa-lu-sapa-trong-7-ngay-6-dem.jpg","790,000"
"
                    TOUR HÈ ĐÀ NẴNG 4N3Đ - TRỌN GÓI VÉ MÁY BAY KHỨ HỒI
                ",https://mytour.vn/tour/9244-tour-he-da-nang-4n3d-tron-goi-ve-may-bay-khu-hoi.html, Thứ 5 hàng tuần,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/tour1553843305.png","5,790,000"
"
                    Tour du ngoạn 4 đảo vịnh Nha Trang trong 1 ngày
                ",https://mytour.vn/tour/8969-tour-du-ngoan-4-dao-vinh-nha-trang-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/fdf1435951988_tour-du-ngoan-4-dao-vinh-nha-trang-trong-1-ngay.jpg","280,000"
"
                    Tour du lịch Bà Nà - Núi Chúa trong 1 ngày
                ",https://mytour.vn/tour/8972-tour-du-lich-ba-na-nui-chua-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/jim1436146394_tour-du-lich-ba-na-nui-chua-trong-1-ngay-dl2.jpg","1,180,000"
"
                    Tour du lịch Cù lao Chàm trong 1 ngày
                ",https://mytour.vn/tour/8973-tour-du-lich-cu-lao-cham-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/xqz1436146812_tour-du-lich-cu-lao-cham-trong-1-ngay-dl3.jpg","680,000"
